key,en,zh_TW
home,Home,主頁
welcome_back,Welcome back,歡迎回來
toggle,Toggle,切換
last_connected,Last connected: {},上次連線：{}
person,Person,個人
account,Account,帳號
not_signed_in,Not signed in,尚未登入
sign_in,Sign In,登入
sign_out,Sign Out,登出
sign_up,Sign Up,註冊
email,Email,電子郵件
password,Password,密碼
sign_in_with_google,Sign in with Google,使用 Google 帳戶登入
no_account_prompt,Don't have an account?,還沒有帳號嗎？
not_signed_in,Not signed in,未登入
silversole,SilverSole,SilverSole
or,OR,或
new_version,New Version {},發現新版本 {}
coming_soon,Coming Soon!,即將推出!
field_required,This field is required,此欄位為必填
sign_up_intro,Enter the following details to complete registration,輸入以下資料完成註冊
confirm_password,Confirm password,密碼確認
invalid_email,Invalid email address,電子郵件格式不正確
password_mismatch,Passwords do not match,兩次輸入的密碼不一致
sign_up_success,Sign Up Success,註冊成功
sign_in_success,Sign In Success,登入成功
sign_out_success,Sign Out Success,登出成功
email_not_confirmed,Email not Confirmed,信箱尚未驗證
invalid_credentials,Invalid email or password,帳號或密碼錯誤
device,Device,裝置
silversole_device_id,SilverSole device ID,SilverSole 裝置 ID
binding,Binding,綁定
binding_silversole_device,Binding SilverSole Device,綁定 SilverSole 裝置
not_binding,Not bound yet,尚未綁定
invalid_device_id_format,Invalid device ID format,裝置 ID 格式不正確
device_already_binding,Device already Binding,裝置已綁定
get_data_success,Data loaded,資料載入完成
rls_denied,Permission denied,權限不足
binding_failed,Binding failed,綁定失敗
device_not_found,Device not found,裝置不存在
identity,Identity,身份
switch_identity,Switch Identity,切換身份
change_identity_check_content,Are you sure you want to switch to {} identity?,您確定要切換成 「{}」 身份嗎？
transmitter,Transmitter,傳輸者
observer,Observer,觀察者
offline,Offline,離線
online,Online,連線中
done,Done,完成
map_binding_required,Bind a device to use map features,需要綁定後才能使用地圖功能
device_recent_locations,Recent device locations,裝置最近位置
device_recent_warnings,Recent device warnings,裝置近期警告
device_recent_data,Recent device data,裝置近期資料
events,Events,事件
safe,Safe,安全
get_last_update_time_success,Last update time fetched successfully,成功取得最後更新時間
get_last_update_time_failed,Failed to fetch last update time,取得最後更新時間失敗
refresh,Refresh,刷新
safety_events_detected,Safety events detected,件安全事件已偵測
devices,devices,裝置
analytics,analytics,分析
settings,settings,設定
map,Map,地圖
vitality_metrics,Vitality Metrics,活力指標
entertainment,Entertainment,娛樂
game,Game,遊戲
redeem,Redeem,兌換
mission,Mission,任務
highest_score,Highest score,最高分
skiing_game,Speed Skiing,急速滑雪
strong,strong,強
medium,medium,中
weak,weak,弱
low,low,低
high,high,高
alert_severity,alert severity,警報嚴重程度
view_history,View history,查看歷史
on,On,開
off,Off,關
general,General,一般
search_device,Search device,搜尋裝置
current_devices,Current devices,目前裝置
dark_mode,Dark Mode,深色模式
switch_theme,Switch Theme,切換主題
theme_classic,Classic,經典
theme_mascot,Mascot,插畫
greeting_morning,Good morning,早安
greeting_afternoon,Good afternoon,午安
greeting_evening,Good evening,晚安
today_mission,Today's mission,今日任務
streak_days,{} day streak,連續 {} 天
steps_progress,{} / {} steps,{} / {} 步
foot_check_title,One-minute foot pressure check,一分鐘足壓健檢
start_check_now,Start check now,立即開始健檢
fall_guard_active,Fall guard active,跌倒守護運作中
fall_guard_events,{} events,{} 件事件
mascot_where_title,Where is Chu?,粗哥在哪？
last_located,Last located · {},最後定位 · {}
no_location_yet,No location yet,尚無定位資料
in_safe_zone,In the safe zone — all good!,在安全範圍內，放心！
safe_zone_hint,Family is notified when leaving the set area,離開設定範圍會通知家屬
set_safe_zone,Set safe zone,設定安全範圍
mission_cta,Play one more round of “Chu Catches Fish” to finish,再玩一場「粗哥接魚」就完成
device_synced,Connected · just synced,已連線 · 剛剛同步
device_product_name,SilverSole Insole,銀足鞋墊
foot_check_status,Good condition · {} steps today,狀態良好 · 今日 {} 步
fall_guard_summary,{} events in 7 days · {} family notified,近 7 日 {} 事件 · 已通知 {} 位家屬
games_hub_title,Move with Chu,陪粗哥動一動
pick_a_game,Pick one to play,選一款來玩
mission_almost_done,Almost done,快完成了
mission_walk_steps,Walk {} steps ({}),走 {} 步（{}）
mission_play_game,Play {},玩 {}
coin_reward,+{} coins,+{} 幣
garden,Garden,菜園
garden_nutrient,Nutrient {},養分 {}
shop,Shop,商店
shop_coins,{} coins,{} 幣
family,Family,家庭
family_cheers,{} cheers,{} 則加油
game_go,GO,GO
game_group_hop,Group Hop,帶團跳
game_chase_zombie,Chase Zombies,趕殭屍
game_catch_fish,Chu Catches Fish,粗哥接魚
game_ride_bike,Ride Along,騎鐵馬
game_paddle_canoe,Paddle Boat,划龍舟
game_rhythm_step,Rhythm Step,節奏踏步
game_memory_quiz,Memory Quiz,記憶問答
analytics_title,How is your walking?,走得怎麼樣？
vitality_gait,Vitality gait,活力步態
pressure_distribution,Pressure map,足壓分佈
range_day,Day,日
range_week,Week,週
range_month,Month,月
range_quarter,90 days,90天
gait_diary,Gait diary,步態日記
steps_label,Steps,步數
balance_label,Balance,平衡
weekly_trend,This week's vitality trend,本週活力趨勢
weekly_summary,{} steps this week · {}% more than last week,本週共 {} 步 · 比上週多 {}%
long_term_pending,Long-term trends are still crunching — almost there!,長期趨勢整理中，快好了！
stride_length,Stride length,步幅長度
lr_symmetry,Left-right symmetry,左右對稱
stance_swing,Stance / Swing,站立 / 擺動
drag_count,Foot drags,拖地次數
drag_today,{} times today,今日 {} 次
my_game_badges,My game badges,我的遊戲徽章
badge_locked,Locked,未解鎖
badge_fish,Fishing Master,接魚達人
badge_quiz,Quiz Whiz,問答高手
badge_canoe,Boat Rower,划船好手
badge_bike,Road Rider,單車騎士
badge_drums,Rhythm Star,節奏之星
badge_bat,Home Runner,全壘打王
badge_zombie,Zombie Slayer,殭屍剋星
transmission_method,Transmission Method,傳輸方式
bluetooth,Bluetooth,藍牙
hotspot,Hotspot,熱點
no_data,No data,無資料
wifi,WiFi,WiFi
scanning_nearby_devices,Scanning nearby devices...,正在掃描附近的裝置...
select_your_silversole_device,Select your SilverSole device,選擇你的 SilverSole 裝置
confirm,Confirm,確認
cancel,Cancel,取消
unknown_model,Unknown model,未知型號
nearby_devices,Nearby devices,附近裝置
set_primary_device_title,Set as Primary Device,設為主要裝置
set_primary_device_content,Set {deviceName} as your primary device? The app will prioritize this device on Home and attempt to connect to it first.,要將「{deviceName}」設為主要裝置嗎？設為主要裝置後，首頁會優先顯示此裝置並優先嘗試連線。
set_primary_device_success,Primary device updated,已設為主要裝置
no_primary_device_title,No primary device available,目前沒有可用的主要裝置
no_primary_device_body,Go to “Devices” to add a device then enable any device to get started.,前往「裝置」新增裝置後，啟用任一裝置即可開始使用。
rename,Rename,重新命名
rename_this_device,Rename this device,重新命名此裝置
delete,Delete,刪除
delete_device_title,Delete this device?,要刪除此裝置嗎？
delete_device_content,This action cannot be undone. You can pair it again later.,此操作無法復原，你之後仍可重新配對。
rename_device_success,Device renamed successfully,裝置名稱已更新
delete_device_success,Device deleted successfully,裝置已刪除
rename_device,Rename device,重新命名裝置
device_settings,Device settings,裝置設定
delete_device,Delete device,刪除裝置
switch_device_title,Switch device?,切換裝置？
switch_device_body,Switch to {}?,要切換到 {} 嗎？
add_device,Add device,新增裝置
coming_soon,Coming Soon,敬請期待
coming_soon_content,This feature is not available yet. Stay tuned for updates.,功能尚未開放，等待後續更新。
pressure,Pressure,壓力
acc,Acceleration,加速度
